Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2014,S.U. College at Cortland,Comprehensive Colleges,1345,917,428,592,294,298,359,261,98,394,362,32
2014,S.U. College at Fredonia,Comprehensive Colleges,1009,686,323,468,256,212,283,196,87,258,234,24
2014,S.U. College at Geneseo,Comprehensive Colleges,925,743,182,347,253,94,272,196,76,306,294,12
2014,S.U. College at New Paltz,Comprehensive Colleges,1460,999,461,667,357,310,423,297,126,370,345,25
2014,S.U. College at Old Westbury,Comprehensive Colleges,676,445,231,337,151,186,200,157,43,139,137,2
2014,S.U. College at Oneonta,Comprehensive Colleges,1144,856,288,470,273,197,346,268,78,328,315,13
2014,S.U. College at Oswego,Comprehensive Colleges,1448,1058,390,605,348,257,402,274,128,441,436,5
2014,S.U. College at Plattsburgh,Comprehensive Colleges,1112,806,306,484,286,198,316,223,93,312,297,15
2014,S.U. College at Potsdam,Comprehensive Colleges,856,699,157,351,246,105,248,209,39,257,244,13
2014,S.U. College at Purchase,Comprehensive Colleges,1075,634,441,470,173,297,339,208,131,266,253,13
2014,Suffolk County Community College,Community Colleges,2801,1025,1776,1623,320,1303,715,336,379,463,369,94
2014,Sullivan County Community College,Community Colleges,222,134,88,104,48,56,81,52,29,37,34,3
2014,SUNY at Albany,Doctoral Institutions,3796,2226,1570,1081,613,468,1905,859,1046,810,754,56
2014,SUNY at Binghamton,Doctoral Institutions,3402,2045,1357,930,640,290,1524,616,908,948,789,159
2014,SUNY at Buffalo,Doctoral Institutions,6677,4409,2268,2417,1628,789,2955,1557,1398,1305,1224,81
2014,SUNY at Stony Brook,Doctoral Institutions,12065,9233,2832,2602,1803,799,7033,5212,1821,2430,2218,212
2014,SUNY Coll/Env Sci & Forestry,Doctoral Institutions,590,354,236,167,123,44,289,117,172,134,114,20
2014,SUNY Empire State College,Comprehensive Colleges,1663,679,984,1109,191,918,234,202,32,320,286,34
2014,SUNY Maritime College,Technology Colleges,356,268,88,143,89,54,118,93,25,95,86,9
2014,SUNY Polytechnic Institute,Doctoral Institutions,561,335,226,246,126,120,215,115,100,100,94,6
2014,System Administration,SUNY System ,542,462,80,6,0,6,368,346,22,168,116,52
2014,Tompkins-Cortland Community College,Community Colleges,530,244,286,342,62,280,93,91,2,95,91,4
2014,Ulster County Community College,Community Colleges,391,190,201,212,81,131,82,56,26,97,53,44
2014,Upstate Medical Center,Doctoral Institutions,6501,5207,1294,608,403,205,4412,3563,849,1481,1241,240
2014,Westchester Community College,Community Colleges,1594,540,1054,1175,178,997,289,236,53,130,126,4
2013,Adirondack Community College,Community Colleges,461,211,250,291,92,199,88,60,28,82,59,23
2013,Broome Community College,Community Colleges,763,397,366,430,164,266,184,118,66,149,115,34
2013,Cayuga County Community College,Community Colleges,449,167,282,228,51,177,133,70,63,88,46,42
2013,Clinton Community College,Community Colleges,203,125,78,118,51,67,55,50,5,30,24,6
2013,College of Tech & Ag at Cobleskill,Technology Colleges,516,381,135,191,99,92,171,135,36,154,147,7
2013,College of Tech & Ag at Morrisville,Technology Colleges,611,437,174,243,146,97,178,129,49,190,162,28
2013,College of Tech at Alfred,Technology Colleges,602,509,93,229,168,61,166,137,29,207,204,3
2013,College of Tech at Canton,Technology Colleges,548,392,156,228,131,97,195,140,55,125,121,4
2013,College of Tech at Delhi,Technology Colleges,534,377,157,233,136,97,141,106,35,160,135,25
2013,College of Tech at Farmingdale,Technology Colleges,1256,608,648,689,214,475,311,189,122,256,205,51
2013,Columbia-Greene Community College,Community Colleges,281,140,141,117,44,73,87,57,30,77,39,38
2013,Cornell Statutory Colleges,Doctoral Institutions,4437,3398,1039,1277,1155,122,2095,1239,856,1065,1004,61
2013,Corning Community College,Community Colleges,529,276,253,236,89,147,62,62,0,231,125,106
